Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 Compresseur 3 KWh-Dif;MISFAT 3 G39 KWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 G10 KWh-Diff;MISFAT 3 TGBT N°3 KWh-Diff;MISFAT 3 Eclairage 3-2 KWh-Dif
2024-09-07 17:00:00 CEST;"101;484375";"58;5";"75;28125";"38;75";0,0kWh;0,0kWh;"800;5";0,0kWh
2024-09-07 18:00:00 CEST;"57;4609375";"24;625";"41;25";"21;140625";0,0kWh;0,0kWh;"470;5";0,0kWh
2024-09-07 19:00:00 CEST;"103;76953125";"64;375";"73;21875";"38;15625";0,0kWh;0,0kWh;"792;5";0,0kWh
2024-09-07 20:00:00 CEST;"89;6875";"72;75";"67;40625";"34;046875";0,0kWh;0,0kWh;"706;5";0,0kWh
2024-09-07 21:00:00 CEST;"3;69140625";"8;5";"7;0625";0,0kWh;0,0kWh;0,0kWh;"174;5";0,0kWh
2024-09-07 22:00:00 CEST;"3;8125";8,0kWh;"7;5";0,0kWh;0,0kWh;0,0kWh;"168;5";0,0kWh
2024-09-07 23:00:00 CEST;"1;4140625";"3;125";"2;6875";0,0kWh;0,0kWh;0,0kWh;"80;5";0,0kWh
2024-09-08 00:00:00 CEST;"3;77734375";"8;25";"6;96875";0,0kWh;0,0kWh;0,0kWh;"160;5";0,0kWh
2024-09-08 01:00:00 CEST;"3;80859375";"8;125";"7;03125";0,0kWh;0,0kWh;0,0kWh;"160;5";0,0kWh
2024-09-08 02:00:00 CEST;"3;83203125";"8;25";"6;96875";0,0kWh;0,0kWh;0,0kWh;"160;5";0,0kWh
2024-09-08 03:00:00 CEST;"3;84765625";"8;25";"7;1875";0,0kWh;0,0kWh;0,0kWh;"160;5";0,0kWh
2024-09-08 04:00:00 CEST;"4;01171875";"8;25";"7;375";0,0kWh;0,0kWh;0,0kWh;"158;5";0,0kWh
2024-09-08 05:00:00 CEST;"3;9453125";"8;375";"7;0625";0,0kWh;0,0kWh;0,0kWh;"156;5";0,0kWh
2024-09-08 06:00:00 CEST;"29;953125";24,0kWh;"32;96875";0,0kWh;0,0kWh;0,0kWh;"320;5";0,0kWh
2024-09-08 07:00:00 CEST;"107;7265625";"71;5";"74;96875";"35;265625";0,0kWh;0,0kWh;"638;5";0,0kWh
2024-09-08 08:00:00 CEST;"105;8671875";65,0kWh;"75;84375";"38;8125";0,0kWh;0,0kWh;"654;5";0,0kWh
2024-09-08 09:00:00 CEST;"101;6171875";"66;375";"77;5";"38;859375";0,0kWh;0,0kWh;"658;5";0,0kWh
2024-09-08 10:00:00 CEST;"103;1015625";"63;125";"73;71875";"40;828125";0,0kWh;0,0kWh;"656;5";0,0kWh
2024-09-08 11:00:00 CEST;"94;84765625";"54;125";"77;125";"33;421875";0,0kWh;0,0kWh;"620;5";0,0kWh
2024-09-08 12:00:00 CEST;"35;4921875";"7;75";"63;5625";0,0kWh;0,0kWh;0,0kWh;"380;5";0,0kWh
2024-09-08 13:00:00 CEST;"3;79296875";"7;875";"37;875";0,0kWh;0,0kWh;0,0kWh;"242;5";0,0kWh
2024-09-08 14:00:00 CEST;"3;8828125";"8;75";"37;5625";0,0kWh;0,0kWh;0,0kWh;"226;5";0,0kWh
2024-09-08 15:00:00 CEST;"3;81640625";"8;375";"36;5625";0,0kWh;0,0kWh;0,0kWh;"198;5";0,0kWh
2024-09-08 16:00:00 CEST;"3;83203125";"8;375";"36;84375";0,0kWh;0,0kWh;0,0kWh;"190;5";0,0kWh
2024-09-08 17:00:00 CEST;"3;88671875";"8;25";"36;34375";0,0kWh;0,0kWh;0,0kWh;"192;5";0,0kWh
2024-09-08 18:00:00 CEST;"4;22265625";"8;5";"37;28125";0,0kWh;0,0kWh;0,0kWh;"196;5";0,0kWh
2024-09-08 19:00:00 CEST;"3;89453125";"8;25";"36;4375";0,0kWh;0,0kWh;0,0kWh;"194;5";0,0kWh
2024-09-08 20:00:00 CEST;"3;85546875";"8;75";"31;40625";0,0kWh;0,0kWh;0,0kWh;"186;5";0,0kWh
2024-09-08 21:00:00 CEST;"3;87109375";"8;875";"7;3125";0,0kWh;0,0kWh;0,0kWh;"148;5";0,0kWh
2024-09-08 22:00:00 CEST;"4;02734375";"8;875";"7;125";0,0kWh;0,0kWh;0,0kWh;"150;5";0,0kWh
2024-09-08 23:00:00 CEST;"1;75390625";"4;25";"3;15625";0,0kWh;0,0kWh;0,0kWh;"70;5";0,0kWh
2024-09-09 00:00:00 CEST;"4;546875";"11;375";"6;875";0,0kWh;0,0kWh;0,0kWh;"150;5";0,0kWh
2024-09-09 01:00:00 CEST;"4;5625";11,0kWh;7,0kWh;0,0kWh;0,0kWh;0,0kWh;"152;5";0,0kWh
2024-09-09 02:00:00 CEST;"4;1953125";"10;25";"6;9375";0,0kWh;0,0kWh;0,0kWh;"150;5";0,0kWh
2024-09-09 03:00:00 CEST;"4;5078125";"10;5";"6;90625";0,0kWh;0,0kWh;0,0kWh;"150;5";0,0kWh
2024-09-09 04:00:00 CEST;"4;2734375";"10;75";"7;09375";0,0kWh;0,0kWh;0,0kWh;"148;5";0,0kWh
2024-09-09 05:00:00 CEST;"35;12109375";33,0kWh;"33;71875";0,0kWh;0,0kWh;0,0kWh;"420;5";0,0kWh
2024-09-09 06:00:00 CEST;"39;3203125";"31;125";"42;03125";0,0kWh;0,0kWh;0,0kWh;"490;5";0,0kWh
2024-09-09 07:00:00 CEST;"44;39453125";90,0kWh;"85;75";"36;296875";"36;75";0,0kWh;"894;5";0,0kWh
2024-09-09 08:00:00 CEST;"66;46875";"85;5";"94;28125";"42;140625";"29;875";0,0kWh;"944;5";0,0kWh
