Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 Compresseur 3 KWh-Dif;MISFAT 3 G39 KWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 G10 KWh-Diff;MISFAT 3 TGBT N°3 KWh-Diff;MISFAT 3 Eclairage 3-2 KWh-Dif
2025-03-31 21:00:00 CEST;"0;1875";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"90;5";0,0kWh
2025-03-31 22:00:00 CEST;"0;1875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"86;5";0,0kWh
2025-03-31 23:00:00 CEST;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"36;5";0,0kWh
2025-04-01 00:00:00 CEST;"0;1875";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"90;5";0,0kWh
2025-04-01 01:00:00 CEST;"0;21875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"92;5";0,0kWh
2025-04-01 02:00:00 CEST;"0;1875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"90;5";0,0kWh
2025-04-01 03:00:00 CEST;"0;1875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"92;5";0,0kWh
2025-04-01 04:00:00 CEST;"0;1875";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"94;5";0,0kWh
2025-04-01 05:00:00 CEST;"0;1875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"92;5";0,0kWh
2025-04-01 06:00:00 CEST;"0;21875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"84;5";0,0kWh
2025-04-01 07:00:00 CEST;"0;1875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"86;5";0,0kWh
2025-04-01 08:00:00 CEST;"0;21875";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"88;5";0,0kWh
2025-04-01 09:00:00 CEST;"0;1875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"90;5";0,0kWh
2025-04-01 10:00:00 CEST;"0;1875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"88;5";0,0kWh
2025-04-01 11:00:00 CEST;"0;1875";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"88;5";0,0kWh
2025-04-01 12:00:00 CEST;"0;1875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"86;5";0,0kWh
2025-04-01 13:00:00 CEST;"18;5625";"26;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"158;5";0,0kWh
2025-04-01 14:00:00 CEST;"8;75";"24;625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"150;5";0,0kWh
2025-04-01 15:00:00 CEST;"7;8125";"20;25";"0;0625";0,0kWh;0,0kWh;0,0kWh;"128;5";0,0kWh
2025-04-01 16:00:00 CEST;"8;96875";"18;875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"126;5";0,0kWh
2025-04-01 17:00:00 CEST;"9;46875";"17;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"124;5";0,0kWh
2025-04-01 18:00:00 CEST;"8;5";"14;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"122;5";0,0kWh
2025-04-01 19:00:00 CEST;"8;78125";"13;625";"0;0625";0,0kWh;0,0kWh;0,0kWh;"124;5";0,0kWh
2025-04-01 20:00:00 CEST;"8;71875";"13;75";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"126;5";0,0kWh
2025-04-01 21:00:00 CEST;"9;625";"13;625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"122;5";0,0kWh
2025-04-01 22:00:00 CEST;"8;75";"13;5";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"124;5";0,0kWh
2025-04-01 23:00:00 CEST;"6;25";"9;625";"0;0625";0,0kWh;0,0kWh;0,0kWh;"42;5";0,0kWh
2025-04-02 00:00:00 CEST;"9;09375";"13;875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"126;5";0,0kWh
2025-04-02 01:00:00 CEST;"9;25";"13;375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"126;5";0,0kWh
2025-04-02 02:00:00 CEST;"9;03125";"13;625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"126;5";0,0kWh
2025-04-02 03:00:00 CEST;"9;84375";"13;625";"0;0625";0,0kWh;0,0kWh;0,0kWh;"124;5";0,0kWh
2025-04-02 04:00:00 CEST;"8;96875";"13;625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"126;5";0,0kWh
2025-04-02 05:00:00 CEST;"9;75";"17;625";"8;9375";0,0kWh;0,0kWh;0,0kWh;"170;5";0,0kWh
2025-04-02 06:00:00 CEST;9,0kWh;39,0kWh;"25;8125";"14;65625";"6;75";"4;708984375";"448;5";0,0kWh
2025-04-02 07:00:00 CEST;"59;78125";"50;625";"55;0625";"38;34375";"56;25";"10;4443359375";"742;5";0,0kWh
2025-04-02 08:00:00 CEST;"72;40625";"68;125";"65;1875";"40;5";"33;4375";"8;966796875";"782;5";0,0kWh
2025-04-02 09:00:00 CEST;"42;71875";101,0kWh;65,0kWh;"40;28125";"31;6875";"8;88671875";"836;5";0,0kWh
2025-04-02 10:00:00 CEST;"62;5625";"99;5";"61;75";"40;5";"36;125";"8;806640625";"794;5";0,0kWh
2025-04-02 11:00:00 CEST;"107;5625";"88;375";"65;8125";"40;71875";"39;375";"8;669921875";"800;5";0,0kWh
2025-04-02 12:00:00 CEST;"97;8125";"49;75";"61;375";"39;6875";"34;9375";"8;6171875";"752;5";0,0kWh
2025-04-02 13:00:00 CEST;"97;21875";"101;5";"67;125";"39;5";"33;625";"8;58984375";"818;5";0,0kWh
2025-04-02 14:00:00 CEST;"95;6875";"97;375";"64;875";"0;9375";"29;25";"8;6611328125";"752;5";0,0kWh
2025-04-02 15:00:00 CEST;"97;875";85,0kWh;"67;1875";0,0kWh;"34;75";"8;66796875";"756;5";0,0kWh
2025-04-02 16:00:00 CEST;"108;46875";"100;75";"62;375";0,0kWh;29,0kWh;"8;654296875";"738;5";0,0kWh
2025-04-02 17:00:00 CEST;"109;625";"95;25";"60;9375";0,0kWh;"34;25";"8;6767578125";"660;5";0,0kWh
2025-04-02 18:00:00 CEST;"108;09375";"77;5";"58;3125";0,0kWh;"33;9375";"8;8212890625";"638;5";0,0kWh
2025-04-02 19:00:00 CEST;"107;625";80,0kWh;"57;5625";0,0kWh;"29;5";"9;0498046875";"642;5";0,0kWh
2025-04-02 20:00:00 CEST;"98;78125";"103;25";"53;875";0,0kWh;"29;8125";"6;6025390625";"660;5";0,0kWh
2025-04-02 21:00:00 CEST;"9;46875";"96;125";"39;125";0,0kWh;"29;625";0,0kWh;"582;5";0,0kWh
2025-04-02 22:00:00 CEST;"8;8125";"49;125";"40;1875";0,0kWh;40,0kWh;0,0kWh;"534;5";0,0kWh
2025-04-02 23:00:00 CEST;"6;5";"54;625";29,0kWh;0,0kWh;"24;6875";0,0kWh;"110;5";0,0kWh
2025-04-03 00:00:00 CEST;"8;9375";98,0kWh;"39;625";0,0kWh;"30;25";"0;0009765625";"552;5";0,0kWh
2025-04-03 01:00:00 CEST;"8;71875";"102;625";"39;4375";0,0kWh;30,0kWh;0,0kWh;"580;5";0,0kWh
2025-04-03 02:00:00 CEST;"8;75";"82;875";"38;4375";0,0kWh;"41;25";0,0kWh;"548;5";0,0kWh
2025-04-03 03:00:00 CEST;"9;34375";"101;25";"40;3125";0,0kWh;35,0kWh;0,0kWh;"560;5";0,0kWh
2025-04-03 04:00:00 CEST;"9;28125";"102;5";"40;6875";0,0kWh;"30;3125";"0;0009765625";"570;5";0,0kWh
2025-04-03 05:00:00 CEST;"9;09375";"99;375";"40;75";0,0kWh;"27;9375";0,0kWh;"562;5";0,0kWh
2025-04-03 06:00:00 CEST;"10;40625";54,0kWh;"31;3125";"21;59375";"4;9375";0,0kWh;"460;5";0,0kWh
2025-04-03 07:00:00 CEST;"114;3125";"102;25";"60;6875";"34;59375";"38;625";0,0kWh;"750;5";0,0kWh
2025-04-03 08:00:00 CEST;"106;125";"100;125";"70;9375";"38;53125";"31;5";0,0kWh;"750;5";0,0kWh
2025-04-03 09:00:00 CEST;"104;03125";97,0kWh;"71;6875";"38;34375";"28;25";"5;2001953125";"756;5";0,0kWh
2025-04-03 10:00:00 CEST;"103;78125";"79;375";"64;5625";"6;90625";"28;4375";"9;6826171875";"688;5";0,0kWh
2025-04-03 11:00:00 CEST;"107;03125";"97;75";"66;75";"33;0625";"28;75";"8;822265625";"720;5";0,0kWh
2025-04-03 12:00:00 CEST;"96;34375";"99;625";"62;75";"40;46875";38,0kWh;"8;5654296875";"724;5";0,0kWh
2025-04-03 13:00:00 CEST;"105;46875";"90;375";"61;375";"40;78125";"34;875";"8;666015625";"698;5";0,0kWh
2025-04-03 14:00:00 CEST;"105;40625";93,0kWh;"63;625";"40;84375";"32;9375";"8;9482421875";"726;5";0,0kWh
2025-04-03 15:00:00 CEST;"106;21875";"91;75";"63;875";"40;90625";"29;625";"8;72265625";"712;5";0,0kWh
2025-04-03 16:00:00 CEST;"83;3125";"76;125";"46;4375";"31;875";"27;3125";"6;9921875";"138;5";0,0kWh
2025-04-03 17:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-04-03 18:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-04-03 19:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-04-03 20:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-04-03 21:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-04-03 22:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-04-03 23:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-04-04 00:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-04-04 01:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-04-04 02:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-04-04 03:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-04-04 04:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-04-04 05:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-04-04 06:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-04-04 07:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-04-04 08:00:00 CEST;"58;3125";"55;25";"37;1875";"22;5";"18;625";"4;7587890625";"450;5";0,0kWh
2025-04-04 09:00:00 CEST;"107;53125";"96;125";"71;75";"41;5625";"30;625";"8;6142578125";"792;5";0,0kWh
2025-04-04 10:00:00 CEST;"105;59375";"97;75";"64;6875";"42;375";"29;375";"8;5380859375";"782;5";0,0kWh
2025-04-04 11:00:00 CEST;"104;9375";"63;5";"63;625";"40;46875";"29;5625";"8;544921875";"794;5";0,0kWh
2025-04-04 12:00:00 CEST;"108;40625";"48;75";"63;875";"39;6875";"31;25";"8;486328125";"776;5";0,0kWh
2025-04-04 13:00:00 CEST;"108;09375";"46;125";"61;0625";"23;34375";"30;9375";"8;49609375";"740;5";0,0kWh
2025-04-04 14:00:00 CEST;"74;25";"45;125";"58;0625";"0;3125";"27;1875";"8;61328125";"710;5";0,0kWh
2025-04-04 15:00:00 CEST;"105;34375";"43;125";"61;0625";0,0kWh;"27;4375";"8;8046875";"694;5";0,0kWh
2025-04-04 16:00:00 CEST;"104;5";"44;5";"58;5";0,0kWh;"30;4375";"8;732421875";"684;5";0,0kWh
2025-04-04 17:00:00 CEST;"105;5";"44;75";"58;125";0,0kWh;"33;6875";"8;712890625";"620;5";0,0kWh
2025-04-04 18:00:00 CEST;"107;21875";46,0kWh;"54;875";0,0kWh;"30;8125";"9;0322265625";"592;5";0,0kWh
2025-04-04 19:00:00 CEST;"105;625";"47;375";"54;1875";0,0kWh;"35;625";"8;9150390625";"590;5";0,0kWh
2025-04-04 20:00:00 CEST;98,0kWh;84,0kWh;"51;0625";"0;84375";"30;125";"7;1591796875";"602;5";0,0kWh
2025-04-04 21:00:00 CEST;"8;1875";95,0kWh;"38;875";"15;3125";"10;0625";0,0kWh;"564;5";0,0kWh
2025-04-04 22:00:00 CEST;"8;71875";"82;875";"39;625";"28;34375";0,0kWh;0,0kWh;"548;5";0,0kWh
2025-04-04 23:00:00 CEST;"3;8125";"12;25";"17;0625";"18;6875";0,0kWh;0,0kWh;"208;5";0,0kWh
2025-04-05 00:00:00 CEST;"8;1875";"26;75";"39;5";"37;15625";0,0kWh;0,0kWh;"452;5";0,0kWh
2025-04-05 01:00:00 CEST;"8;375";"27;25";"38;875";"29;84375";0,0kWh;0,0kWh;"458;5";0,0kWh
2025-04-05 02:00:00 CEST;"9;3125";52,0kWh;"39;6875";42,0kWh;0,0kWh;0,0kWh;"456;5";0,0kWh
2025-04-05 03:00:00 CEST;"8;59375";"80;25";"41;0625";"41;875";0,0kWh;0,0kWh;"506;5";0,0kWh
2025-04-05 04:00:00 CEST;"9;40625";"55;375";"39;625";"42;09375";0,0kWh;0,0kWh;"478;5";0,0kWh
2025-04-05 05:00:00 CEST;"31;59375";"49;5";"37;4375";"39;8125";0,0kWh;0,0kWh;"478;5";0,0kWh
2025-04-05 06:00:00 CEST;"39;09375";"26;5";"29;625";"4;125";"1;6875";"3;1171875";"440;5";0,0kWh
2025-04-05 07:00:00 CEST;"114;125";"81;5";"60;1875";"42;46875";"48;4375";"10;4619140625";"786;5";0,0kWh
2025-04-05 08:00:00 CEST;"104;46875";"80;75";"66;25";"41;90625";"33;3125";"8;6787109375";"822;5";0,0kWh
2025-04-05 09:00:00 CEST;"110;5625";"80;5";"65;3125";"41;0625";"28;25";"8;7353515625";"780;5";0,0kWh
2025-04-05 10:00:00 CEST;"107;53125";"79;625";"61;6875";"40;8125";"25;375";"8;5439453125";"758;5";0,0kWh
2025-04-05 11:00:00 CEST;"107;5625";"82;375";"63;5625";"41;09375";0,0kWh;"8;595703125";"752;5";0,0kWh
2025-04-05 12:00:00 CEST;"108;28125";"99;25";"57;9375";"41;3125";0,0kWh;"8;5859375";"712;5";0,0kWh
2025-04-05 13:00:00 CEST;"107;53125";"89;75";"55;0625";"41;34375";0,0kWh;"8;595703125";"678;5";0,0kWh
2025-04-05 14:00:00 CEST;"87;59375";"33;125";"49;5625";"40;59375";0,0kWh;"8;6025390625";"490;5";0,0kWh
2025-04-05 15:00:00 CEST;"52;875";"34;75";"52;5";"40;28125";0,0kWh;"8;6572265625";"500;5";0,0kWh
2025-04-05 16:00:00 CEST;"53;59375";"33;875";"48;875";"41;625";0,0kWh;"8;6533203125";"468;5";0,0kWh
2025-04-05 17:00:00 CEST;58,0kWh;"34;375";"50;75";"41;65625";0,0kWh;"8;9541015625";"492;5";0,0kWh
2025-04-05 18:00:00 CEST;"65;75";"35;75";"49;6875";"41;90625";0,0kWh;"8;4306640625";"484;5";0,0kWh
2025-04-05 19:00:00 CEST;"41;03125";"32;875";"46;9375";"42;0625";0,0kWh;"8;6044921875";"472;5";0,0kWh
2025-04-05 20:00:00 CEST;"40;40625";"34;125";"42;6875";"33;96875";0,0kWh;"5;21484375";"410;5";0,0kWh
2025-04-05 21:00:00 CEST;"8;84375";"14;25";"0;8125";0,0kWh;0,0kWh;0,0kWh;"134;5";0,0kWh
2025-04-05 22:00:00 CEST;"8;09375";"12;75";"0;0625";0,0kWh;0,0kWh;0,0kWh;"130;5";0,0kWh
2025-04-05 23:00:00 CEST;"4;84375";"6;375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"68;5";0,0kWh
2025-04-06 00:00:00 CEST;"8;65625";"13;5";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"126;5";0,0kWh
2025-04-06 01:00:00 CEST;"7;96875";"12;625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"122;5";0,0kWh
2025-04-06 02:00:00 CEST;"8;96875";14,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"124;5";0,0kWh
2025-04-06 03:00:00 CEST;"7;84375";"12;375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"118;5";0,0kWh
2025-04-06 04:00:00 CEST;"8;40625";"13;625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"120;5";0,0kWh
2025-04-06 05:00:00 CEST;"8;3125";13,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"120;5";0,0kWh
2025-04-06 06:00:00 CEST;9,0kWh;"13;5";"28;0625";0,0kWh;0,0kWh;0,0kWh;"266;5";0,0kWh
2025-04-06 07:00:00 CEST;9,0kWh;14,0kWh;"31;875";0,0kWh;0,0kWh;"10;4921875";"308;5";0,0kWh
2025-04-06 08:00:00 CEST;"7;9375";"12;625";"34;875";0,0kWh;"41;875";"8;6865234375";"314;5";0,0kWh
2025-04-06 09:00:00 CEST;"8;5";14,0kWh;"35;0625";0,0kWh;"29;75";"8;39453125";"300;5";0,0kWh
2025-04-06 10:00:00 CEST;"9;25";"12;875";"32;875";0,0kWh;"31;625";"8;314453125";"308;5";0,0kWh
2025-04-06 11:00:00 CEST;"8;5625";"13;75";"32;5625";0,0kWh;"34;1875";"8;3369140625";"302;5";0,0kWh
2025-04-06 12:00:00 CEST;"8;53125";"13;75";"30;25";0,0kWh;"36;9375";"8;2490234375";"284;5";0,0kWh
2025-04-06 13:00:00 CEST;"7;875";"12;625";"23;8125";0,0kWh;0,0kWh;"3;859375";"198;5";0,0kWh
2025-04-06 14:00:00 CEST;"7;34375";"13;75";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"138;5";0,0kWh
2025-04-06 15:00:00 CEST;"7;375";"12;625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"124;5";0,0kWh
2025-04-06 16:00:00 CEST;"9;28125";"14;125";"0;0625";0,0kWh;0,0kWh;0,0kWh;"118;5";0,0kWh
2025-04-06 17:00:00 CEST;"6;9375";13,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"118;5";0,0kWh
2025-04-06 18:00:00 CEST;"8;71875";"13;5";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"114;5";0,0kWh
2025-04-06 19:00:00 CEST;"6;96875";"12;5";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"118;5";0,0kWh
2025-04-06 20:00:00 CEST;"7;1875";14,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"120;5";0,0kWh
2025-04-06 21:00:00 CEST;"7;40625";13,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"120;5";0,0kWh
2025-04-06 22:00:00 CEST;"8;28125";"13;875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"118;5";0,0kWh
2025-04-06 23:00:00 CEST;"4;9375";"7;625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"64;5";0,0kWh
2025-04-07 00:00:00 CEST;"6;53125";"13;875";"0;0625";0,0kWh;0,0kWh;0,0kWh;"118;5";0,0kWh
2025-04-07 01:00:00 CEST;"7;5625";"13;75";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"120;5";0,0kWh
2025-04-07 02:00:00 CEST;"9;125";"13;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"118;5";0,0kWh
2025-04-07 03:00:00 CEST;"7;5";14,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"118;5";0,0kWh
2025-04-07 04:00:00 CEST;"4;96875";"13;625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"118;5";0,0kWh
2025-04-07 05:00:00 CEST;"10;25";"13;25";"8;0625";0,0kWh;0,0kWh;0,0kWh;"156;5";0,0kWh
2025-04-07 06:00:00 CEST;"57;5";"57;25";"28;0625";0,0kWh;"0;875";0,0kWh;"420;5";0,0kWh
2025-04-07 07:00:00 CEST;112,0kWh;"102;625";"55;6875";"35;875";"47;625";0,0kWh;"770;5";0,0kWh
2025-04-07 08:00:00 CEST;"106;1875";"101;75";"65;25";"44;0625";"37;4375";"0;0009765625";"838;5";0,0kWh
2025-04-07 09:00:00 CEST;"104;71875";102,0kWh;"63;25";"43;5625";"36;9375";"10;841796875";"802;5";0,0kWh
2025-04-07 10:00:00 CEST;"103;25";"93;875";"61;875";"42;71875";"31;5";"8;501953125";"778;5";0,0kWh
2025-04-07 11:00:00 CEST;"102;65625";"100;625";"64;1875";"42;6875";"32;4375";"8;6005859375";"812;5";0,0kWh
2025-04-07 12:00:00 CEST;"103;28125";"97;875";"62;125";"36;65625";"35;1875";"8;6240234375";"810;5";0,0kWh
2025-04-07 13:00:00 CEST;"64;34375";"75;125";"48;75";"24;15625";"26;9375";"8;58203125";"646;5";0,0kWh
2025-04-07 14:00:00 CEST;"99;0625";"22;375";"61;5";"14;0625";"29;625";"8;734375";"646;5";0,0kWh
2025-04-07 15:00:00 CEST;"102;15625";"13;75";"61;875";"1;125";"30;25";"8;693359375";"634;5";0,0kWh
2025-04-07 16:00:00 CEST;"104;90625";15,0kWh;"58;9375";"1;125";"34;3125";"8;7353515625";"586;5";0,0kWh
2025-04-07 17:00:00 CEST;"105;28125";"15;375";54,0kWh;"31;28125";"33;75";"8;7392578125";"524;5";0,0kWh
2025-04-07 18:00:00 CEST;"104;96875";"14;625";"53;625";"40;5";"26;9375";"8;4521484375";"514;5";0,0kWh
2025-04-07 19:00:00 CEST;"79;65625";"14;625";"54;875";"40;3125";"33;375";"8;6240234375";"512;5";0,0kWh
2025-04-07 20:00:00 CEST;"74;4375";36,0kWh;"53;5";"35;6875";35,0kWh;"5;9189453125";"524;5";0,0kWh
2025-04-07 21:00:00 CEST;"4;15625";"103;25";"41;25";"37;84375";"34;25";"0;0009765625";"548;5";0,0kWh
2025-04-07 22:00:00 CEST;"4;125";"99;75";"41;1875";"41;09375";"35;5";0,0kWh;"544;5";0,0kWh
2025-04-07 23:00:00 CEST;"3;03125";"65;875";"27;1875";"26;90625";"19;1875";0,0kWh;"228;5";0,0kWh
2025-04-08 00:00:00 CEST;"4;5";"87;375";"42;25";"39;84375";"26;6875";0,0kWh;"506;5";0,0kWh
2025-04-08 01:00:00 CEST;"4;21875";"82;625";"42;375";"39;5";"37;9375";0,0kWh;"504;5";0,0kWh
2025-04-08 02:00:00 CEST;"4;59375";"79;875";"40;6875";"38;90625";"29;4375";"0;0009765625";"486;5";0,0kWh
2025-04-08 03:00:00 CEST;"4;46875";"78;75";"44;375";"38;9375";"36;875";0,0kWh;"506;5";0,0kWh
2025-04-08 04:00:00 CEST;"4;625";"77;375";"43;875";"39;3125";"39;1875";0,0kWh;"520;5";0,0kWh
2025-04-08 05:00:00 CEST;"4;59375";"75;25";"42;0625";"36;59375";"34;1875";0,0kWh;"492;5";0,0kWh
2025-04-08 06:00:00 CEST;"60;5625";"43;375";"36;5625";"1;125";0,0kWh;0,0kWh;"422;5";0,0kWh
2025-04-08 07:00:00 CEST;"109;46875";"96;5";"59;5625";"40;78125";"40;8125";0,0kWh;"792;5";0,0kWh
2025-04-08 08:00:00 CEST;"97;28125";"99;875";"69;0625";"40;75";"38;125";0,0kWh;"848;5";0,0kWh
2025-04-08 09:00:00 CEST;"98;59375";"99;5";"69;5625";"40;65625";"38;5";"2;26953125";"812;5";0,0kWh
2025-04-08 10:00:00 CEST;"90;71875";"99;875";"65;875";"40;84375";"28;6875";"10;4150390625";"806;5";0,0kWh
2025-04-08 11:00:00 CEST;"99;0625";"100;25";"71;4375";"40;75";31,0kWh;"9;03125";"842;5";0,0kWh
2025-04-08 12:00:00 CEST;"99;09375";"99;25";"64;75";"40;9375";"32;3125";"2;833984375";"786;5";0,0kWh
2025-04-08 13:00:00 CEST;"91;40625";"97;875";"64;3125";"40;875";"28;375";"9;787109375";"820;5";0,0kWh
2025-04-08 14:00:00 CEST;"28;53125";"97;25";"58;8125";"40;96875";"30;5";"8;814453125";"694;5";0,0kWh
2025-04-08 15:00:00 CEST;"28;84375";"97;375";"60;375";"40;78125";"35;4375";"8;673828125";"704;5";0,0kWh
2025-04-08 16:00:00 CEST;"29;15625";"96;75";55,0kWh;"40;84375";"28;0625";"8;6357421875";"670;5";0,0kWh
2025-04-08 17:00:00 CEST;"29;3125";"95;125";"56;9375";"38;59375";28,0kWh;"8;7060546875";"616;5";0,0kWh
2025-04-08 18:00:00 CEST;"29;21875";"97;375";"56;5";"41;6875";"28;1875";"8;689453125";"614;5";0,0kWh
2025-04-08 19:00:00 CEST;"28;84375";"92;5";"54;625";"33;4375";"28;3125";"8;9599609375";"604;5";0,0kWh
2025-04-08 20:00:00 CEST;"26;5";"43;75";"54;125";"42;125";"28;4375";"6;7724609375";"536;5";0,0kWh
2025-04-08 21:00:00 CEST;"0;1875";54,0kWh;"42;625";"41;84375";"29;3125";0,0kWh;"538;5";0,0kWh
2025-04-08 22:00:00 CEST;"0;1875";"28;375";"44;1875";"40;03125";"37;6875";"0;0009765625";"532;5";0,0kWh
2025-04-08 23:00:00 CEST;"0;15625";"11;25";"28;625";"28;21875";"23;625";0,0kWh;"230;5";0,0kWh
2025-04-09 00:00:00 CEST;"0;21875";"15;125";"42;5625";"37;625";"28;9375";0,0kWh;"464;5";0,0kWh
2025-04-09 01:00:00 CEST;"0;21875";"16;75";"42;625";"41;6875";"35;8125";0,0kWh;"496;5";0,0kWh
2025-04-09 02:00:00 CEST;"0;21875";16,0kWh;"43;9375";"35;09375";"31;3125";0,0kWh;"516;5";0,0kWh
2025-04-09 03:00:00 CEST;"0;21875";"13;5";"46;6875";"40;9375";"43;5625";0,0kWh;"516;5";0,0kWh
2025-04-09 04:00:00 CEST;"0;21875";"13;5";"43;4375";"41;15625";"29;0625";0,0kWh;"512;5";0,0kWh
2025-04-09 05:00:00 CEST;"0;21875";"13;5";"44;0625";"38;125";"29;375";"0;0009765625";"494;5";0,0kWh
2025-04-09 06:00:00 CEST;"49;5";"20;375";"36;8125";"7;03125";0,0kWh;0,0kWh;"434;5";0,0kWh
2025-04-09 07:00:00 CEST;"100;96875";"48;5";63,0kWh;"42;15625";"32;625";"10;5244140625";"742;5";0,0kWh
2025-04-09 08:00:00 CEST;"97;90625";"57;125";"72;1875";"42;28125";"33;625";"8;521484375";"788;5";0,0kWh
2025-04-09 09:00:00 CEST;"91;8125";"79;25";"72;75";"42;25";31,0kWh;"8;7255859375";"814;5";0,0kWh
2025-04-09 10:00:00 CEST;"88;21875";"98;625";"63;875";"41;4375";"33;5";"8;7001953125";"770;5";0,0kWh
2025-04-09 11:00:00 CEST;"85;65625";"50;625";"69;0625";"41;9375";"31;875";"8;6611328125";"776;5";0,0kWh
2025-04-09 12:00:00 CEST;"88;53125";"60;5";"64;375";"42;65625";"33;75";"8;63671875";"736;5";0,0kWh
